vards/laiks/punkti/cels/stacijas
kkk/8/120/31.3/0
kks/7/120/31.3/0
kkj/8/120/31.3/0
kk/55/130/86.7/0
ll/89/160/92.5/1
sadf/20/140/86.7/0
saf/95/140/86.7/0
rainers/786/155/1646.6714285714286/15
janis/21/140/31.3/0
askl/16/140/31.3/0
